analysis_id,xe9o5os1es5reb5
gene_symbol,Slc45a3
mouse_strain,C57BL
gene_accession_id,MGI:1922082
parameter_id,IMPC_XRY_027_001
pvalue,0.5980755
parameter_name,Joints
mouse_life_stage,Early adult
