analysis_id,2800311r93k14kz
mouse_life_stage,Early adult
parameter_name,Snout size
parameter_id,MGP_CSD_067_001
gene_symbol,Etfdh
mouse_strain,C57BL
gene_accession_id,MGI:106100
pvalue,0.6212456
