analysis_id,1jfwpr7q9bf06k3
parameter_name,12kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_life_stage,Early adult
pvalue,0.2368684
