gene_symbol,Pglyrp3
analysis_id,52uy59qpw0051q5
mouse_life_stage,Early adult
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:2685266
mouse_strain,C57BL
pvalue,0.794849
