analysis_id,8mk8j12s9ka3364
gene_accession_id,MGI:3026886
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Cdin1
pvalue,0.06776043
mouse_strain,C57BL
parameter_id,IMPC_GRS_011_001
mouse_life_stage,E9.5
