parameter_id,JAXLA_CSD_077_001
gene_symbol,Atrn
mouse_life_stage,Early adult
analysis_id,lk93hyay84i8262
gene_accession_id,MGI:1341628
mouse_strain,C57BL
pvalue,0.4156468
parameter_name,Contact righting
