gene_symbol,Arpc5l
parameter_id,MGP_IMM_013_001
mouse_life_stage,Early adult
pvalue,0.09820464
parameter_name,Total CD8+ T cells - % of ab T cells
gene_accession_id,MGI:1921442
mouse_strain,C57BL
analysis_id,33t81u6oa286678
