analysis_id,397q1kowq36bke7
gene_accession_id,MGI:1915524
parameter_name,LDL-cholesterol
pvalue,0.6291578
mouse_life_stage,Early adult
gene_symbol,Toporsl
parameter_id,IMPC_CBC_025_001
mouse_strain,C57BL
