analysis_id,17pa7a2d7p2q4t9
gene_symbol,Fpgs
pvalue,0.4339538
parameter_id,M-G-P_005_001_004
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:95576
