parameter_name,% Freezing duration habituation-1
pvalue,0.9076407
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ICS_FEA_016_001
analysis_id,e73o62r8412geg8
