gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
pvalue,0.1723299
parameter_name,Total bilirubin
analysis_id,2u0597fl00g29va
