gene_symbol,Tnni1
analysis_id,2wry7hfh2do6a1m
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3328112
parameter_id,HMGULA_DYS_024_001
