parameter_name,Anophthalmia
mouse_strain,C57BL
gene_symbol,Toporsl
pvalue,0.1232663
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
parameter_id,IMPC_GEO_048_002
analysis_id,np5z2nvnsstee47
