analysis_id,zu9s50x1mk2f458
pvalue,0.5520999
mouse_strain,C57BL
gene_accession_id,MGI:2673000
parameter_id,IMPC_EYE_056_001
gene_symbol,Trim46
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
