parameter_name,Distance travelled - total
pvalue,0.748477
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:3045306
gene_symbol,Exd1
mouse_strain,C57BL
analysis_id,9198ws8egqgyrtk
mouse_life_stage,Early adult
