parameter_name,Eyelid morphology
gene_symbol,Slc45a3
analysis_id,x2cafzu01n22291
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1922082
pvalue,0.2034986
parameter_id,IMPC_EYE_004_001
