analysis_id,ckifl4681y4g999
parameter_name,Total cholesterol
gene_symbol,Hpca
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.7016261
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1336200
