gene_symbol,Maco1
parameter_id,JAX_OFD_021_001
analysis_id,yz4q8nu5kmt1tfc
mouse_strain,C57BL
pvalue,0.5940075
parameter_name,Number of rears - total
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
