gene_symbol,Wars2
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4775856
analysis_id,p79499i41157as2
gene_accession_id,MGI:1917810
parameter_name,Calcium
