analysis_id,26ozi4d78356jr5
mouse_strain,C57BL
gene_symbol,Cisd2
gene_accession_id,MGI:1914256
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
pvalue,0.0001558632
mouse_life_stage,Early adult
