analysis_id,w39lz696226k04d
pvalue,0.3610096
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,129SV
parameter_id,IMPC_IMM_067_001
