gene_symbol,Sass6
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte percentage
analysis_id,64fnqv515n24m42
gene_accession_id,MGI:1920026
pvalue,0.9548399
mouse_life_stage,E9.5
