parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:2670995
mouse_strain,C57BL
analysis_id,9ryc4v1czs8y306
parameter_name,Total cholesterol
pvalue,0.8307655
mouse_life_stage,Early adult
gene_symbol,Trp53i11
