gene_symbol,Rgs20
analysis_id,vfh15f30267dyr8
parameter_name,ST
pvalue,0.7351687
gene_accession_id,MGI:1929866
mouse_strain,C57BL
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
