parameter_id,JAXLA_EYE_092_001
analysis_id,85zhl0ctbml22ng
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7677411
parameter_name,Retina (combined)
gene_symbol,Zcchc2
gene_accession_id,MGI:2444114
