gene_symbol,Rigi
analysis_id,8i711i22k14tz2t
pvalue,0.9075116
gene_accession_id,MGI:2442858
mouse_strain,C57BL
parameter_name,Distance travelled - total
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
