analysis_id,u422qk2r6562tj9
parameter_id,IMPC_GEL_060_001
mouse_strain,C57BL
pvalue,0.5516341
gene_accession_id,MGI:95457
parameter_name,Neural tube morphology
gene_symbol,Mecom
mouse_life_stage,E15.5
