analysis_id,o8g57er8ckl78an
pvalue,0.1239762
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,M-G-P_006_001_026
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
