gene_symbol,AU040320
mouse_strain,C57BL
parameter_id,ESLIM_004_001_701
mouse_life_stage,Middle aged adult
parameter_name,Glucose response AUC
pvalue,0.9817523
analysis_id,njqr651n6ty446u
gene_accession_id,MGI:2140475
