analysis_id,7p369yl99bx4043
gene_symbol,Psd4
parameter_id,JAX_LDT_008_001
gene_accession_id,MGI:2674093
parameter_name,Percent time in dark
mouse_strain,C57BL
pvalue,0.3249233
mouse_life_stage,Early adult
