parameter_name,Radius
gene_symbol,Slc28a2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_XRY_022_001
analysis_id,e42px5m767xnn07
gene_accession_id,MGI:1913105
pvalue,0.7057568
