parameter_name,Neural tube morphology
pvalue,0.5333918
analysis_id,2a6r0085bnw07hk
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_id,IMPC_GEL_060_001
mouse_life_stage,E18.5
