parameter_id,HMGULA_GRS_008_001
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_name,Forelimb grip strength measurement mean
mouse_life_stage,E12.5
analysis_id,238ado9h9011aa5
pvalue,0.635419
gene_accession_id,MGI:97838
