analysis_id,ggu2pj9mdr8k877
pvalue,0.854824
gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
