analysis_id,j612y9671u45x2x
gene_symbol,Rhbg
parameter_name,Average duration
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:1927379
pvalue,0.5940929
mouse_strain,C57BL
