analysis_id,4uqfm4seuion505
parameter_id,IMPC_ECH_008_001
pvalue,0.06779152
gene_accession_id,MGI:109585
mouse_strain,C57BL
parameter_name,LVIDd
mouse_life_stage,Early adult
gene_symbol,Pld1
