analysis_id,g6mas826i91oe77
gene_symbol,Rap2b
parameter_name,Periphery average speed
pvalue,0
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
parameter_id,JAX_OFD_013_001
