gene_symbol,Cmpk1
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total bilirubin
gene_accession_id,MGI:1913838
pvalue,0.9594447
analysis_id,562i89uci771517
