gene_symbol,Smyd2
mouse_life_stage,Early adult
parameter_name,Limb morphology
gene_accession_id,MGI:1915889
pvalue,0.6317819
mouse_strain,C55BL
parameter_id,IMPC_GEP_084_001
analysis_id,6sja5a1uq5z9j3b
