parameter_name,DN CD25- NKT cells
mouse_life_stage,Middle aged adult
analysis_id,p7c3p6m11z5px05
gene_accession_id,MGI:2446186
pvalue,0.06928203
gene_symbol,Lpgat1
parameter_id,IMPC_IMM_025_001
mouse_strain,C57BL
