analysis_id,4217u00dlp8a3bw
parameter_name,Periphery resting time
gene_accession_id,MGI:2651854
parameter_id,ESLIM_007_001_007
gene_symbol,Atg4c
pvalue,0.3037112
mouse_life_stage,Early adult
mouse_strain,C57BL
