parameter_name,Click-evoked ABR threshold
gene_symbol,Slc17a9
pvalue,0.2138075
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919107
analysis_id,2ph489379z57l19
