analysis_id,o906866i405sla2
mouse_life_stage,Early adult
pvalue,0.2320061
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Psmd14
parameter_id,ESLIM_011_001_007
mouse_strain,C57BL
gene_accession_id,MGI:1913284
