parameter_name,Mean platelet volume
pvalue,0.3389826
gene_accession_id,MGI:1918025
mouse_strain,129SV
gene_symbol,Zmynd8
analysis_id,e53903mdc75ijgp
parameter_id,IMPC_HEM_019_001
mouse_life_stage,Early adult
