parameter_name,Alanine aminotransferase
analysis_id,i4k2uon028qp0z8
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_013_001
pvalue,0.3808014
gene_accession_id,MGI:1914561
gene_symbol,Nanp
mouse_strain,C57BL
