analysis_id,543t56p024j52k1
mouse_strain,C57BL
mouse_life_stage,E18.5
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_name,Center permanence time
pvalue,0.421025
parameter_id,JAX_OFD_016_001
