analysis_id,n97fh3bk7w3iki1
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
gene_symbol,ZFP683
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
pvalue,0.9402572
parameter_name,Humerus
