gene_symbol,Mroh9
pvalue,0.5155929
analysis_id,4l1a719h04xxcrd
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
mouse_life_stage,Early adult
gene_accession_id,MGI:1925508
mouse_strain,C57BL
