parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
analysis_id,0790pwm7z36xx75
gene_symbol,Lurap1
parameter_id,IMPC_CBC_012_001
pvalue,0.4540693
gene_accession_id,MGI:1915325
mouse_strain,C57BL
