parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.5596719
mouse_strain,C57BL
analysis_id,6d0z4vz328zs226
gene_accession_id,MGI:1918764
parameter_id,IMPC_OFD_013_001
gene_symbol,Sfpq
