parameter_name,Sacral processes
gene_symbol,Zcchc2
parameter_id,IMPC_XRY_066_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
analysis_id,oveq098i7ju2mof
mouse_strain,C57BL
pvalue,0.6380003
