gene_symbol,Nemp2
parameter_id,IMPC_XRY_064_001
analysis_id,gc8x16mdz8nf7a9
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
parameter_name,Thoracic processes
pvalue,0.5203538
mouse_strain,C57BL
