analysis_id,r31gv9qryyq903b
mouse_life_stage,Early adult
pvalue,0.7974409
gene_symbol,Rab3gap2
mouse_strain,C57BL
parameter_name,Weight
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1916043
