analysis_id,40f1eo06v25ny63
mouse_strain,C57BL
pvalue,0.437617
gene_accession_id,MGI:2685266
parameter_id,IMPC_GEL_006_001
gene_symbol,Pglyrp3
parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
