analysis_id,byc703jfj6z8hj9
gene_symbol,Mecom
mouse_life_stage,Early adult
pvalue,0.3490413
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
