gene_symbol,Sass6
gene_accession_id,MGI:1920026
mouse_life_stage,E9.5
pvalue,0.190663
mouse_strain,C57BL
parameter_name,Resting NK cells - % of CD45+
parameter_id,MGP_IMM_100_001
analysis_id,4c373782t5qr7b6
