analysis_id,6k359dhn160a0zc
parameter_name,Forebrain
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5653005
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
