analysis_id,1hf050t2z5658bo
parameter_name,Skull shape
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.5177339
parameter_id,IMPC_XRY_001_001
