gene_symbol,Rnf114
mouse_strain,C57BL
gene_accession_id,MGI:1933159
parameter_name,Neutrophil cell count
parameter_id,IMPC_HEM_030_001
analysis_id,m598236s9l75mqj
mouse_life_stage,Early adult
pvalue,0.6774447
