analysis_id,uf4u86ui2764023
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
mouse_strain,C57BL
parameter_name,Center average speed
gene_symbol,Col6a3
pvalue,0.6929216
parameter_id,IMPC_OFD_017_001
