gene_symbol,Ncaph
pvalue,0.5700026
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3n75lw52d7lrv8h
gene_accession_id,MGI:2444777
parameter_name,Thoracic processes
parameter_id,IMPC_XRY_064_001
