parameter_name,Phosphorus
mouse_life_stage,Early adult
gene_symbol,Col6a3
parameter_id,IMPC_CBC_010_001
mouse_strain,C57BL
pvalue,0.9700119
gene_accession_id,MGI:88461
analysis_id,d28s90u983a627f
