analysis_id,s70m82o8i59l0nf
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
gene_symbol,Lpgat1
parameter_name,Dark side time spent
pvalue,0.879617
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
