parameter_name,Body Weight
gene_accession_id,MGI:97054
parameter_id,M-G-P_020_001_001
pvalue,0.5236165
gene_symbol,Mov10
analysis_id,739s2hio32y892k
mouse_strain,C57BL
mouse_life_stage,Early adult
